File	Column_or_Item	Meaning	Calculation_or_Source	Notes
size_series_fdr_interval_summary.tsv	DeltaFDRQ75	75th percentile of partition-minus-full FDR change.	Quantile 0.75 of DeltaFDR.	
size_series_fdr_interval_summary.tsv	ImprovedFraction	Fraction of analyzed rows with lower partition-derived FDR.	ImprovedCount / N.	
size_series_fdr_interval_summary.tsv	WorsenedFraction	Fraction of analyzed rows with higher partition-derived FDR.	WorsenedCount / N.	
main_partition_fdr_threshold_summary.tsv	Dataset	Condition/environment name.	Generated from the corresponding numbered run.	
main_partition_fdr_threshold_summary.tsv	PartitionStructure	Actual number/type of partitions represented by the analysis.	Counted from the source partition directories.	
main_partition_fdr_threshold_summary.tsv	Threshold	FDR threshold evaluated.	Values defined by FDR_THRESHOLDS in collate_binning_results.py.	Current defaults are 0.01 and 0.05.
main_partition_fdr_threshold_summary.tsv	N	Number of finite audit rows included in the FDR analysis.	Rows remaining after optional shared-only filtering and numeric validation.	
main_partition_fdr_threshold_summary.tsv	BasePassCount	Rows passing the full-database FDR threshold.	BaseFDR <= Threshold.	
main_partition_fdr_threshold_summary.tsv	PartitionPassCount	Rows passing the partition-derived FDR threshold.	BinnedFDRMedian <= Threshold.	
main_partition_fdr_threshold_summary.tsv	NetPassChange	Net change in passing rows.	PartitionPassCount - BasePassCount.	
main_partition_fdr_threshold_summary.tsv	GainedPassCount	Rows newly passing after partition-derived FDR.	Base fails and partition passes.	
main_partition_fdr_threshold_summary.tsv	LostPassCount	Rows lost after partition-derived FDR.	Base passes and partition fails.	
main_partition_fdr_threshold_summary.tsv	PassBothCount	Rows passing under both FDR estimates.	Base passes AND partition passes.	
main_partition_fdr_threshold_summary.tsv	GainedUniquePeptides	Distinct peptide identifiers among newly passing rows, when an identifier column is available.	Distinct UnmodifiedPeptide or CorePeptide among GainedPassCount rows.	
main_partition_fdr_threshold_summary.tsv	LostUniquePeptides	Distinct peptide identifiers among lost rows, when an identifier column is available.	Distinct UnmodifiedPeptide or CorePeptide among LostPassCount rows.	
size_series_fdr_threshold_summary.tsv	Dataset	Condition/environment name.	Generated from the corresponding numbered run.	
size_series_fdr_threshold_summary.tsv	BinSize	Size-series label for the Individual-bin analysis; often a nominal peptide target such as 1.2M, but arbitrary labels are supported.	Parsed from <Condition>_Groups_<LABEL>.	Present only in size-series FDR outputs.
size_series_fdr_threshold_summary.tsv	PartitionStructure	Actual number/type of partitions represented by the analysis.	Counted from the source partition directories.	
size_series_fdr_threshold_summary.tsv	Threshold	FDR threshold evaluated.	Values defined by FDR_THRESHOLDS in collate_binning_results.py.	Current defaults are 0.01 and 0.05.
size_series_fdr_threshold_summary.tsv	N	Number of finite audit rows included in the FDR analysis.	Rows remaining after optional shared-only filtering and numeric validation.	
size_series_fdr_threshold_summary.tsv	BasePassCount	Rows passing the full-database FDR threshold.	BaseFDR <= Threshold.	
size_series_fdr_threshold_summary.tsv	PartitionPassCount	Rows passing the partition-derived FDR threshold.	BinnedFDRMedian <= Threshold.	
size_series_fdr_threshold_summary.tsv	NetPassChange	Net change in passing rows.	PartitionPassCount - BasePassCount.	
size_series_fdr_threshold_summary.tsv	GainedPassCount	Rows newly passing after partition-derived FDR.	Base fails and partition passes.	
size_series_fdr_threshold_summary.tsv	LostPassCount	Rows lost after partition-derived FDR.	Base passes and partition fails.	
size_series_fdr_threshold_summary.tsv	PassBothCount	Rows passing under both FDR estimates.	Base passes AND partition passes.	
size_series_fdr_threshold_summary.tsv	GainedUniquePeptides	Distinct peptide identifiers among newly passing rows, when an identifier column is available.	Distinct UnmodifiedPeptide or CorePeptide among GainedPassCount rows.	
size_series_fdr_threshold_summary.tsv	LostUniquePeptides	Distinct peptide identifiers among lost rows, when an identifier column is available.	Distinct UnmodifiedPeptide or CorePeptide among LostPassCount rows.	
main_partition_fdr_manifest.tsv	Dataset	Condition/environment name.	Generated from the corresponding numbered run.	
main_partition_fdr_manifest.tsv	Run	Numbered run associated with the FDR audit input.	Numbered run being collated.	
main_partition_fdr_manifest.tsv	PartitionStructure	Actual number/type of partitions represented by the analysis.	Counted from the source partition directories.	
main_partition_fdr_manifest.tsv	InputPath	Project-relative classic-vs-binned FDR audit input path.	Recorded by the collator.	
main_partition_fdr_manifest.tsv	InputRows	Rows read from the source audit table before filtering.	Row count of the loaded audit table.	
main_partition_fdr_manifest.tsv	AnalysisRows	Rows retained for FDR summary calculations.	Rows remaining after shared-only filtering and finite numeric checks.	
main_partition_fdr_manifest.tsv	SharedOnly	Whether only ComparisonStatus == shared rows were analyzed.	Current collator default is True.	
main_partition_fdr_manifest.tsv	BinnedStatistic	Partition-derived FDR statistic selected from the audit table.	Current collator value is Median, corresponding to BinnedFDRMedian.	
main_partition_fdr_manifest.tsv	PeptideColumn	Peptide identifier column used for unique-peptide summaries, when available.	UnmodifiedPeptide preferred; CorePeptide used as fallback; blank if neither exists.	
main_partition_fdr_manifest.tsv	ValidationStatus	Validation status for the source audit input.	PASS when the input was successfully processed.	
size_series_fdr_manifest.tsv	Dataset	Condition/environment name.	Generated from the corresponding numbered run.	
size_series_fdr_manifest.tsv	Run	Numbered run associated with the FDR audit input.	Numbered run being collated.	
size_series_fdr_manifest.tsv	BinSize	Size-series label for the Individual-bin analysis; often a nominal peptide target such as 1.2M, but arbitrary labels are supported.	Parsed from <Condition>_Groups_<LABEL>.	Present only in size-series FDR outputs.
size_series_fdr_manifest.tsv	PartitionStructure	Actual number/type of partitions represented by the analysis.	Counted from the source partition directories.	
size_series_fdr_manifest.tsv	InputPath	Project-relative classic-vs-binned FDR audit input path.	Recorded by the collator.	
size_series_fdr_manifest.tsv	InputRows	Rows read from the source audit table before filtering.	Row count of the loaded audit table.	
size_series_fdr_manifest.tsv	AnalysisRows	Rows retained for FDR summary calculations.	Rows remaining after shared-only filtering and finite numeric checks.	
size_series_fdr_manifest.tsv	SharedOnly	Whether only ComparisonStatus == shared rows were analyzed.	Current collator default is True.	
size_series_fdr_manifest.tsv	BinnedStatistic	Partition-derived FDR statistic selected from the audit table.	Current collator value is Median, corresponding to BinnedFDRMedian.	
size_series_fdr_manifest.tsv	PeptideColumn	Peptide identifier column used for unique-peptide summaries, when available.	UnmodifiedPeptide preferred; CorePeptide used as fallback; blank if neither exists.	
size_series_fdr_manifest.tsv	ValidationStatus	Validation status for the source audit input.	PASS when the input was successfully processed.	
matched_formula_peptide_protein_gains.tsv	Dataset	Condition/environment name.	Condition family discovered from numbered runs.	
matched_formula_peptide_protein_gains.tsv	ApplicationMode	Description of how correction formulas were applied.	Written as 'Matched formulas applied to source samples'.	
matched_formula_peptide_protein_gains.tsv	AnalysisFamily	Analysis family represented by the matched output.	Pairwise for the primary Individual/Pairwise designs; Bin Size Series for size-series designs.	
matched_formula_peptide_protein_gains.tsv	FormulaDesign	Human-readable matched formula design label.	Individual Bins, Pairwise Bins, or <LABEL> Individual Bins.	
matched_formula_peptide_protein_gains.tsv	PartitionStructure	Actual number/type of partitions represented by the source formula design.	Counted from the first numbered run for the condition.	
matched_formula_peptide_protein_gains.tsv	BinSize	Size-series label for matched Individual-bin formulas; often a nominal peptide target, but arbitrary labels are supported.	Analysis directory name for size-series matched outputs.	Blank for Individual and Pairwise matched designs.
matched_formula_peptide_protein_gains.tsv	MatchedOutputRoot	Project-relative matched-analysis directory.	Recorded from Matched_Formula_Output/<Condition>/<Analysis>.	
matched_formula_peptide_protein_gains.tsv	BaselinePeptides	Distinct peptide-sequence count from the corresponding full-database analysis.	Distinct non-empty Peptide values in <Condition>_Full/peptide_crosstab_annotated.tsv.	Repeated peptide-to-protein mapping rows do not increase this count.
matched_formula_peptide_protein_gains.tsv	CorrectedPeptides	Distinct peptide-sequence count from the combined matched-formula downstream output.	Distinct non-empty Peptide values in <matched analysis>/protein_rollup/peptide_crosstab_annotated.tsv.	
matched_formula_peptide_protein_gains.tsv	PeptideGain	Net distinct-peptide change relative to the full-database baseline.	CorrectedPeptides - BaselinePeptides.	Positive values indicate more distinct peptide sequences; negative values indicate fewer.
matched_formula_peptide_protein_gains.tsv	BaselinePeptideFlanked	Distinct flanked-peptide identifier count from the corresponding full-database analysis.	Distinct non-empty PeptideFlanked values in <Condition>_Full/peptide_crosstab_annotated.tsv.	Retained as a QC metric; distinct Peptide is the production peptide count.
matched_formula_peptide_protein_gains.tsv	CorrectedPeptideFlanked	Distinct flanked-peptide identifier count from the combined matched-formula downstream output.	Distinct non-empty PeptideFlanked values in <matched analysis>/protein_rollup/peptide_crosstab_annotated.tsv.	QC metric.
matched_formula_peptide_protein_gains.tsv	PeptideFlankedGain	Net distinct flanked-peptide change relative to the full-database baseline.	CorrectedPeptideFlanked - BaselinePeptideFlanked.	QC metric.
matched_formula_peptide_protein_gains.tsv	BaselineProteins	Distinct protein identifier count from the corresponding full-database analysis.	Distinct non-empty Protein values in <Condition>_Full/protein_crosstab_annotated.tsv.	
matched_formula_peptide_protein_gains.tsv	CorrectedProteins	Distinct protein identifier count from the combined matched-formula downstream output.	Distinct non-empty Protein values in <matched analysis>/protein_rollup/protein_crosstab_annotated.tsv.	
matched_formula_peptide_protein_gains.tsv	ProteinGain	Net distinct-protein change relative to the full-database baseline.	CorrectedProteins - BaselineProteins.	Positive values indicate more distinct proteins; negative values indicate fewer.
matched_formula_peptide_protein_gains.tsv	PeptideSourceRows	Number of rows read from the annotated peptide crosstab.	len(peptide_crosstab_annotated.tsv).	Audit/QC only; not the peptide count.
matched_formula_peptide_protein_gains.tsv	ProteinSourceRows	Number of rows read from the protein crosstab.	len(protein_crosstab_annotated.tsv).	Audit/QC only; not the protein count.
matched_formula_peptide_protein_gains.tsv	PeptidePath	Exact annotated peptide crosstab source path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
matched_formula_peptide_protein_gains.tsv	ProteinPath	Exact protein crosstab source path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
matched_formula_peptide_protein_gains.tsv	BaselinePeptidePath	Exact full-database annotated peptide crosstab path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
matched_formula_peptide_protein_gains.tsv	BaselineProteinPath	Exact full-database protein crosstab path used during collation.	Recorded by the collator.	Stored relative to the selected Binning data root when possible.
matched_formula_input_manifest.tsv	Dataset	Condition/environment name.	Condition family discovered from numbered runs.	
matched_formula_input_manifest.tsv	Analysis	Matched analysis label.	Individual, Pairwise, or the discovered size label.	
matched_formula_input_manifest.tsv	FileType	Input file category represented by the manifest row.	peptide or protein.	
matched_formula_input_manifest.tsv	SourcePath	Project-relative matched-output crosstab source path.	Recorded by the collator.	
matched_formula_input_manifest.tsv	ValidationStatus	Validation status for the source file.	PASS when the file was successfully read and counted.	
matched_formula_input_manifest.tsv	CountingRule	Entity-counting rule used for the source file.	Peptide rows: distinct Peptide plus distinct PeptideFlanked QC; protein rows: distinct Protein.	
matched_formula_input_manifest.tsv	Notes	Compact row-count and distinct-count audit details.	Generated from the source crosstab.	
matched_formula_results_guide.tsv	File	Matched results file described by the guide.	Generated by the collator.	
matched_formula_results_guide.tsv	Meaning	Short explanation of the matched results file.	Generated by the collator.	
matched_formula_results_guide.tsv	CountingRule	Counting rule associated with the described matched output.	Generated by the collator.	
results_guide.tsv	File	Collated output file or file pattern being described.	Generated from the collator's built-in guide definitions.	
results_guide.tsv	Meaning	Short description of the output's purpose.	Generated from the collator's built-in guide definitions.	
results_guide.tsv	Relative_Source_or_Derivation	Relative source path or derivation description for the output.	Generated from the current run and condition paths.	
